르미엘엠,NaN,대구 동구 신암남로23길 42
웜 브리즈,NaN,대구 달성군 옥포읍 명곡로 579 1층
대새목장,NaN,대구 달성군 가창면 가창로93길 523
로에베 플로레스,NaN,대구 북구 이곡길 35-10
무화커피,4.54,대구 수성구 국채보상로186길 81 2층 무화커피
오디너리하우스,4.54,대구 중구 동성로2길 21-8
롤링핀 대구수목원점,NaN,대구 달서구 한실로6길 158
구삼커피,4.7,대구 중구 봉산문화2길 16-3 구삼커피
오퐁드부아,4.38,대구 달성군 가창면 주리2길 104
스타벅스 대구종로고택점,NaN,대구 중구 중앙대로77길 22
카페 루시드,4.67,대구 중구 동성로4길 94
베르겐 에스프레소바,NaN,대구 동구 파계로138길 64 베르겐 에스프레소바
삼송빵집 본점,4.28,대구 중구 중앙대로 397
커들포드,4.48,대구 동구 팔공로 1334 커들포드
헤이마,4.48,대구 동구 파계로 583
이얼즈,NaN,"대구 중구 공평로 79 . 1층,2층(동문동)"
브리니 팔공,NaN,대구 동구 팔공로206길 4
랜디스도넛 대구동성로점,4.48,대구 중구 동성로6길 56
161커피스튜디오,4.4,대구 달성군 현풍읍 비슬로 581
슬로우터틀 동성로점,4.61,대구 중구 동성로2길 18-14
룰리커피 가창점,NaN,대구 달성군 가창면 우록길 76
크래프터,4.53,대구 남구 현충로 41-3
사워도우 다이닝,NaN,대구 수성구 청솔로2길 63-9 1층 사워도우 다이닝
카페베버,4.91,대구 중구 국채보상로150길 83 카페베버
연화,4.65,대구 동구 동부로34길 3 연화
마마다이닝,4.84,대구 중구 동성로2길 21-5 마마다이닝
스테이블모먼트 반석점,NaN,대구 북구 복현로8길 19-36 스테이블 모먼트
팡팡팡,NaN,대구 중구 동성로1길 15 2층 팡팡팡
이씨씨커피,4.56,대구 중구 종로 72
스틸301,NaN,대구 군위군 산성면 산성가음로 996
아눅 앞산,4.51,대구 남구 앞산순환로 459 아눅 앞산
롤러커피,4.51,대구 중구 달구벌대로414길 36
묘운,NaN,대구 달성군 하빈면 육신사길 34 1층
초이스엠,4.48,대구 동구 팔공산로 260
랑데자뷰 대구동성로점,4.62,대구 중구 동성로2길 50-9
포켓,NaN,대구 수성구 수성못길 20
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층
룰리커피,4.49,대구 수성구 고모로 188
카페우즈,NaN,대구 군위군 부계면 한티로 2034
코쿠,NaN,"대구 중구 공평로8길 46 2층, 3층"
스테이블모먼트 월배점,4.53,대구 달서구 조암남로32길 24 스테이블모먼트
아리츠,4.6,대구 중구 남성로 47 2층
마고플레인 아양점,4.43,"대구 동구 해동로 107 2,3층"
라부아뜨엘,NaN,대구 수성구 지범로 248-6
대구근대골목단팥빵 본점,4.42,대구 중구 남성로 7-1 1층 대구근대골목단팥빵 본점
프랭크프랭크,4.54,대구 동구 동부로32길 20-1
주리485,NaN,대구 달성군 가창면 주리2길 48 주리485
스테드,NaN,대구 중구 중앙대로77길 14 sted
밀림,NaN,대구 남구 용두길 16
민스크,4.39,대구 남구 현충로6길 9-2
슬로우라이프,4.51,대구 수성구 동대구로77길 33-4
소소래,NaN,대구 북구 학정로 284 (구암동)
오가닉모가,4.66,대구 중구 동덕로 48-5 오가닉모가
슬로우벗베럴 대구점,NaN,대구 동구 신평로 113
인문공학,4.45,대구 동구 동부로 156 인문공학 동대구
카페 아이올리,NaN,대구 수성구 달구벌대로652길 16 1층
스완네,4.55,대구 수성구 동대구로80길 73
까사드테하,NaN,대구 달성군 가창면 녹문길 16-11 1층
바닐라빌리지,NaN,대구 서구 서대구로 152 원진빌딩 1층
인스퍼레이션디동촌유원지,4.41,대구 동구 효동로6길 57 인스퍼레이션디 동촌유원지
몽블랑드파리,NaN,대구 중구 동성로6길 21
선데이 베이글 마켓,NaN,대구 중구 동덕로14길 18-1 선데이 베이글 마켓
비움,NaN,대구 북구 침산남로9길 43 비움
레이틀리92 대구혁신도시 본점,4.45,대구 동구 초례로 6 레이틀리92
마고플레인 강정보점,NaN,대구 달성군 다사읍 강정본길 68-18 마고플레인 강정보점
커피플라자,4.61,대구 남구 앞산순환로87길 49
바토플루이르 송해,NaN,대구 달성군 옥포읍 옥포로57길 57-7 1층
애리스커피스탠드,NaN,대구 동구 동부로32길 2
맨션5,4.41,대구 중구 중앙대로79길 28 맨션5
오마모리 앞산,4.49,대구 남구 대명남로 167
마고플레인비스타,4.51,대구 동구 혁신대로 104
버터베이크,NaN,대구 중구 동성로 22-1 버터베이크
베를린 에스프레소 바,4.65,대구 달서구 미리샘길 82 1층
샌디레이크,4.45,대구 중구 경상감영길 192 샌디레이크
명덕빵앗간,4.67,대구 남구 명덕로40길 72 1층 명덕빵앗간
온더레일,4.42,대구 달성군 가창면 가창로93길 52 온더레일
목련양과,4.7,대구 수성구 들안로8길 29 1층
할타보카 만촌점,4.62,대구 수성구 교학로 3 금탑아파트 상가 4호
삼송1957,NaN,대구 수성구 수성못2길 26 삼송 1957
데우스커피,4.65,대구 수성구 동대구로14길 15-6 2층
성당못빌,4.53,대구 남구 성당로 54-5 . 1-2층
핸즈커피 대구미술관점,NaN,대구 수성구 미술관로 40 대구미술관 부속시설 1층
더크,4.83,대구 남구 안골길 42
틸베이글,NaN,"대구 중구 달구벌대로 2217 1,2,3층"
카펠라,4.35,대구 남구 앞산순환로 449
벽돌집,NaN,"대구 중구 동덕로14길 13 1, 2층"
베를린 에스프레소 바,NaN,대구 남구 대덕로40길 83 1층
아미타,NaN,대구 동구 팔공로 505 1층 아미타카페
플러피클라우드,NaN,대구 중구 달구벌대로443길 44-7 1층
스테이블모먼트 화원점,NaN,대구 달성군 화원읍 비슬로 2614-9 스테이블 모먼트
카페달달 동성로본점,4.56,대구 중구 동성로3길 20 디스퀘어 1층
플란트,NaN,대구 남구 현충로7길 13-1 플란트
슬로우스톤,4.64,대구 달성군 유가읍 휴양림길 109 슬로우스톤
밥스딜라잇,NaN,"대구 달서구 장기로 231 1층,2층"
코타커피,4.54,대구 중구 봉산문화길 86
수형당,NaN,대구 동구 동대구로 550 선상통로내 수형당
더기커피,4.72,대구 중구 중앙대로 376-20 1F
폰타나커피,NaN,대구 달성군 가창면 가창로 737 폰타나커피
포도도 동성로본점,NaN,대구 중구 중앙대로 378-2 1층
노즈커피,NaN,대구 달성군 가창면 우록길 244 A동
덕천418,NaN,대구 수성구 삼덕동 418-2
바토 플루이르 다사점,NaN,대구 달성군 다사읍 달구벌대로92길 108 1층 바토플루이르
아눅 베이커스,4.59,대구 수성구 동대구로58길 15 1층 아눅베이커스
콩카페 대구수성못점,NaN,"대구 수성구 수성못길 2 2, 3층"
팜테이블 수성못점,4.46,대구 수성구 용학로 115 2동
낭만젊음사랑,NaN,대구 중구 국채보상로 634 2층
카페 엠엔티,NaN,대구 달서구 조암남로14길 52-2
해브아워 다운타운,NaN,"대구 중구 동성로2길 50-11 1, 2층"
댄하우스,NaN,대구 중구 경상감영길 164 2층 댄하우스
가창 카페목하,NaN,대구 달성군 가창면 가창로10길 56 카페목하
85커피,NaN,대구 중구 공평로8길 45 85커피
소베,NaN,대구 달서구 월곡로53동길 52 1층
우즈베이커리카페수성호수점,4.43,대구 수성구 수성못6길 3 우즈베이커리 수성호수점
카페 탄,NaN,대구 동구 팔공로70길 2
티클래스,4.6,대구 중구 동성로2길 87
민월재,4.77,대구 북구 고성로 159-4
구트커피,4.54,대구 중구 동성로 19-9 1층 구트커피
삼송빵집 동대구역사점,4.47,대구 동구 동대구로 550
넌테이블,4.67,대구 중구 경상감영길 62 1층 넌테이블
비비당,NaN,대구 달서구 월배로 203 1층 비비당
더아양,4.35,대구 동구 효동로2길 31 더 아양
도케비커피 본점,4.51,대구 달성군 유가읍 음동길 130-15 도케비커피
바우어,4.34,대구 수성구 용학로 361
르폴뒤,4.5,대구 중구 동성로1길 26
올드페리도넛 더현대 대구,NaN,대구 중구 달구벌대로 2077 더현대 대구 지하2층
씨티씨커피로스터스,4.73,대구 중구 명륜로12길 67 1층
호랑이빵집X에브리블랙,4.51,대구 수성구 달구벌대로495길 10
잔치집,NaN,대구 중구 달구벌대로414길 16-16 1층 잔치집
호롱커피,NaN,대구 중구 관덕정길 13-13 미래빌딩 지하1층
오브너,4.72,대구 중구 봉산문화1길 13 1층 카페
굿테이스트커피 by 커피맛을조금아는남자,NaN,대구 동구 팔공산로277길 26 26-1(백안동)
카페 워킹컵,NaN,대구 중구 달구벌대로 2077 9층
연리희재 대구점,NaN,대구 수성구 들안로14길 53 1층
