장소,별점,수정된 주소,위도,경도
감성돼지,4.54,대구 수성구 고산로4안길 33-8,35.8302196,128.7048844
리안,4.48,대구 수성구 교학로4길 48,35.8552695,128.6503641
신라식당,4.39,대구 중구 중앙대로 406-8,35.8579739,128.5922977
도마29,4.62,대구 중구 동성로1길 46-2,35.8671397,128.59526
조조칼국수 본점,4.45,대구 수성구 국채보상로 912,35.8680588,128.6152562
아티코,4.9,대구 수성구 지범로 43-12,35.82702,128.62757
딤딤섬 신세계백화점대구점,4.48,대구 동구 동부로 149,35.8765658,128.6262441
용지봉,4.34,대구 수성구 들안로 9,35.8411811,128.6173904
전원돈까스,4.48,대구 중구 동성로6길 2-23,35.8691016,128.5952997
버거킹 대구죽전네거리점,4.46,대구 달서구 달구벌대로 1536,35.8514798,128.5410689
숨은집,4.65,대구 중구 동성로1길 46-23,35.8671397,128.59526
정미네,4.46,대구 달성군 가창면 헐티로2길,35.7472388,128.5549912
블랙타코앤그릴,4.53,대구 중구 공평로 31,35.8739593,128.6014294
바르미스시뷔페 두산점,4.37,대구 수성구 무학로 78,35.8296845,128.6168175
무화커피,4.54,대구 수성구 국채보상로186길 81,35.8636023,128.6341765
중앙떡볶이,4.24,대구 중구 동성로2길 81,35.869467650000004,128.59696661780404
진미식육식당,4.62,대구 서구 달서천로83길 13,35.8839513,128.5785842
오디너리하우스,4.54,대구 중구 동성로2길 21-8,35.8667277,128.5963147
여원찜갈비,4.5,대구 북구 복현로 182-27,35.8943994,128.6239908
팔공노을철판구이,4.49,대구 동구 서촌로 98-1,35.9842284,128.6233075
수봉반점,4.62,대구 북구 대현남로2길 60,35.8790425,128.6058204
더뷔페 앳 인터불고,4.54,대구 수성구 팔현길 212,35.8634775,128.6724827
사파키친,4.59,대구 동구 동부로34길 10,35.873131,128.6334272
구삼커피,4.7,대구 중구 봉산문화2길 16-3,35.8638658,128.596748
생수정,4.32,대구 달성군 가창면,35.7778073,128.6476679
바스코 동성로본점,4.58,대구 중구 동성로4길 100,35.8675075,128.5991196
앞산 큰골집 본점,4.75,대구 남구 큰골길 35,35.8362566,128.582676
마코토,4.34,대구 중구 동성로2길 18-6,35.8667277,128.5963147
군위식당,4.3,대구 중구 경상감영길 101,35.8708028,128.5859117
칸다소바 대구동성로점,4.6,대구 중구 중앙대로 398-1,35.8579739,128.5922977
동아식당,4.55,대구 중구 국채보상로125길 14,35.8710451,128.5988198
