장소,주소
이월드,대구 달서구 두류공원로 200 이월드
금호꽃섬,대구 북구 노곡동 665
팔공산케이블카,대구 동구 팔공산로185길 51 팔공산케이블카
워터파크 스파밸리,대구 달성군 가창면 가창로 891 워터파크 스파밸리
삼국유사테마파크,대구 군위군 의흥면 일연테마로 100
네이처파크,대구 달성군 가창면 가창로 891
스파크랜드,대구 중구 동성로6길 61 레드존 7~9층
국립대구과학관,대구 달성군 유가읍 테크노대로6길 20
대구아쿠아리움,대구 동구 동부로 149 신세계백화점 대구점 9층
옥연지 송해공원,대구 달성군 옥포읍 기세리 306
83타워,대구 달서구 두류공원로 200 83타워
대새목장,대구 달성군 가창면 가창로93길 523
앞산해넘이전망대,대구 남구 대명동 1501-2
앞산케이블카,대구 남구 앞산순환로 574-116 앞산케이블카
대명유수지,대구 달서구 대천동 816
달성공원,대구 중구 달성공원로 35 달성공원
고산골 공룡공원,대구 남구 용두2길 43
대구수목원,대구 달서구 화암로 342 대구수목원관리사무소
사유원,대구 군위군 부계면 치산효령로 1150
국립대구박물관,대구 수성구 청호로 321 국립대구박물관
강정보디아크광장,대구 달성군 다사읍 강정본길 57
두류공원,대구 달서구 공원순환로 36
화원유원지,대구 달성군 화원읍 사문진로1길 40-14
동촌유원지,대구 동구 효목동 1314
봉무공원,대구 동구 봉무동 산135-2
수성유원지,대구 수성구 두산동 512
영화[리틀포레스트]촬영지,대구 군위군 우보면 미성5길 58-1
국채보상운동기념공원,대구 중구 국채보상로 670 국채보상운동기념관
청라언덕,대구 중구 달구벌대로 2029
신전뮤지엄,대구 북구 관음로 43
대구교육박물관,대구 북구 대동로1길 40
아르떼 수성랜드,대구 수성구 무학로 42
국립대구기상과학관,대구 동구 효동로2길 10 국립대구기상과학관
달성공원 동물원,대구 중구 달성공원로 35 달성공원
월광수변공원,대구 달서구 월곡로 5
앞산공원전망대,대구 남구 대명동 산227-4
대구근대역사관,대구 중구 경상감영길 67 한국산업은행(대구지점)
토이빌리지 대구혁신점,대구 동구 혁신대로 468
군위화산산성전망대,대구 군위군 삼국유사면 화북리 산230
