장소,별점,주소
카페아만다,4.56,대구 달성군 현풍읍 테크노상업로 30 엠허브메디컬센터 105호(건물 앞쪽 큰대로변 상가)
엘아르카 퀴에스,4.58,대구 달성군 유가읍 테크노공원로 77 1층 엘아르카
커피내리는부부,NaN,대구 달성군 유가읍 테크노중앙대로 240 한라하우젠트몰 상가 106호
카프리쵸사,4.54,"대구 달성군 유가읍 테크노상업로 120 1층 121, 122호"
스타벅스 대구테크노폴리스점,4.5,대구 달성군 유가읍 테크노상업로 84
심플카페,NaN,대구 달성군 유가읍 테크노공원로 69 1층 108호
고바슨 현풍 테크노폴리스점,NaN,대구 달성군 현풍읍 테크노공원로 35 107호~113호
커피팀버 테크노폴리스점,4.46,대구 달성군 유가읍 용리 887-6
빽다방 달성테크노점,4.74,대구 달성군 유가읍 테크노상업로 98
핸즈커피 테크노중앙점,4.56,대구 달성군 유가읍 테크노공원로 73 테크노밸리 107호
바토플루이르 송해,NaN,대구 달성군 옥포읍 옥포로57길 57-7 1층
핸즈커피 송해공원점,4.47,대구 달성군 옥포읍 옥포로 313 1층
웜 브리즈,NaN,대구 달성군 옥포읍 명곡로 579 1층
카페찬스,NaN,대구 달성군 옥포읍 옥포로 301
이치아더커피,NaN,대구 달성군 옥포읍 옥포로57길 21-18
카페블로썸,4.28,대구 달성군 옥포읍 옥포로 221
투썸플레이스 대구옥포송해공원점,4.42,대구 달성군 옥포읍 옥포로 305
아마빌레,NaN,대구 달성군 옥포읍 옥포로56길 1
올렌스커피,4.49,대구 달성군 옥포읍 옥포로57길 71 1층 올렌스커피
케이클래스커피 옥포점,4.85,대구 달성군 옥포읍 비슬로447길 45-10 2층
몽블랑드파리,NaN,대구 중구 동성로6길 21
이씨씨커피,4.56,대구 중구 종로 72
랑만,NaN,대구 중구 국채보상로102길 60 1층 랑만
아리츠,4.6,대구 중구 남성로 47 2층
삼송빵집 본점,4.28,대구 중구 중앙대로 397
롤러커피,4.51,대구 중구 달구벌대로414길 36
대구근대골목단팥빵 본점,4.42,대구 중구 남성로 7-1 1층 대구근대골목단팥빵 본점
민월재,4.77,대구 북구 고성로 159-4
소문난팥빙수단팥죽,4.44,대구 중구 큰장로26안길 11
마커커피,NaN,대구 중구 큰장로22길 14 마커커피
에폰베이크샵,NaN,대구 수성구 범어로24길 14 1층
데우스커피,4.65,대구 수성구 동대구로14길 15-6 2층
코즈 범어,NaN,대구 수성구 달구벌대로496길 19-4 1층
올모스트선데이,NaN,대구 수성구 청호로69길 71 1층
아눅 베이커스,4.59,대구 수성구 동대구로58길 15 1층 아눅베이커스
할타보카 만촌점,4.62,대구 수성구 교학로 3 금탑아파트 상가 4호
오솔라,NaN,대구 수성구 달구벌대로526길 22 OSOLAR
호랑이빵집X에브리블랙,4.51,대구 수성구 달구벌대로495길 10
올글래드,4.46,대구 수성구 달구벌대로492길 43 1층
이끼,NaN,대구 수성구 달구벌대로526길 35 1층
덕크로싱도넛,NaN,대구 남구 성당로 74-1 1층
브릭스,NaN,대구 달서구 야외음악당로39동길 41 1층
성당못빌,4.53,대구 남구 성당로 54-5 . 1-2층
오마모리 앞산,4.49,대구 남구 대명남로 167
더크,4.83,대구 남구 안골길 42
카페 몰리스,4.69,대구 달서구 야외음악당로39동길 32 1층 카페몰리스
브리에브레드,NaN,대구 남구 현충로7길 7 1층
아눅 앞산,4.51,대구 남구 앞산순환로 459 아눅 앞산
푸푸커피 대구 본점,4.49,대구 달서구 와룡로 169
읍천리382 본점,4.51,대구 남구 안골길 17-1
동촌커피,NaN,대구 동구 효동로6길 20-1 1층 동촌커피
블루샥 대구 효목점,4.52,대구 동구 효목로 20-1 1층 블루샥 효목점
인스퍼레이션디동촌유원지,4.41,대구 동구 효동로6길 57 인스퍼레이션디 동촌유원지
마고플레인 아양점,4.43,"대구 동구 해동로 107 2,3층"
더아양,4.35,대구 동구 효동로2길 31 더 아양
핸즈커피 동촌유원지점,4.48,대구 동구 효동로6길 5-6
보스턴커피,NaN,대구 동구 방촌로 58
투썸플레이스 대구동촌유원지점,4.43,대구 동구 효동로6길 46
연화,4.65,대구 동구 동부로34길 3 연화
스타벅스 대구동촌유원지점,4.52,대구 동구 효동로2길 45
카페동이 1호점,4.63,대구 수성구 동대구로 95 수성 SK 리더스뷰
몽블랑드파리,NaN,대구 중구 동성로6길 21
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층
노팅힐커피하우스,NaN,대구 중구 명륜로23길 56 1층
구삼커피,4.7,대구 중구 봉산문화2길 16-3 구삼커피
티미드,NaN,대구 중구 국채보상로150길 76-6 1층
카페 루시드,4.67,대구 중구 동성로4길 94
플루니,NaN,대구 중구 동성로2길 12-32 1층 카페 플루니
슬로우터틀 동성로점,4.61,대구 중구 동성로2길 18-14
오디너리하우스,4.54,대구 중구 동성로2길 21-8
삼송빵집 본점,4.28,대구 중구 중앙대로 397
오마모리 수성,NaN,대구 수성구 들안로 27 1층
목련양과,4.7,대구 수성구 들안로8길 29 1층
룩앳더바리스타 대구수성못점,NaN,대구 수성구 수성못2길 21 1층
폴 바셋 대구 수성못점,NaN,대구 수성구 수성못길 28
포켓,NaN,대구 수성구 수성못길 20
연리희재 대구점,NaN,대구 수성구 들안로14길 53 1층
팜테이블 수성못점,4.46,대구 수성구 용학로 115 2동
콩카페 대구수성못점,NaN,"대구 수성구 수성못길 2 2, 3층"
사이커피 수성못,NaN,대구 수성구 무학로 123 사이커피
데우스커피,4.65,대구 수성구 동대구로14길 15-6 2층
몽블랑드파리,NaN,대구 중구 동성로6길 21
이씨씨커피,4.56,대구 중구 종로 72
랑만,NaN,대구 중구 국채보상로102길 60 1층 랑만
아리츠,4.6,대구 중구 남성로 47 2층
롤러커피,4.51,대구 중구 달구벌대로414길 36
소문난팥빙수단팥죽,4.44,대구 중구 큰장로26안길 11
마커커피,NaN,대구 중구 큰장로22길 14 마커커피
삼송빵집 본점,4.28,대구 중구 중앙대로 397
대구근대골목단팥빵 본점,4.42,대구 중구 남성로 7-1 1층 대구근대골목단팥빵 본점
로맨스빠빠,4.52,대구 중구 국채보상로 492-6
물그나무 카페,NaN,대구 달서구 선원로23길 69 1층 물그나무카페
슬로우스톤,4.64,대구 달성군 유가읍 휴양림길 109 슬로우스톤
오르망,4.45,대구 달성군 유가읍 휴양림길 215 오르망 카페
카프리쵸사,4.54,"대구 달성군 유가읍 테크노상업로 120 1층 121, 122호"
커피팀버 테크노폴리스점,4.46,대구 달성군 유가읍 용리 887-6
엘아르카 퀴에스,4.58,대구 달성군 유가읍 테크노공원로 77 1층 엘아르카
빽다방 달성테크노점,4.74,대구 달성군 유가읍 테크노상업로 98
논페이지,4.81,대구 달성군 유가읍 테크노상업로 111 상가 106호
배스킨라빈스 대구테크노폴리스,4.6,대구 달성군 유가읍 테크노상업로 100
심플카페,NaN,대구 달성군 유가읍 테크노공원로 69 1층 108호
카페봄봄 테크노폴리스점,4.63,대구 달성군 유가읍 테크노상업로 112
별빛담아,NaN,대구 남구 안지랑로5길 10-1 별빛담아
카페우즈,NaN,대구 군위군 부계면 한티로 2034
금레당,NaN,대구 군위군 부계면 한밤5길 20-1
엘아르카 비타 팔공산점,4.72,대구 군위군 부계면 한티로 2030
카페푸른달,4.4,대구 군위군 부계면 한티로 1905
플루보,NaN,대구 군위군 부계면 한밤8길 143-3
803로스터리,4.27,대구 군위군 부계면 한티로 1912-1
제이힐링카페,NaN,대구 군위군 부계면 한티로 1751
차향만리,NaN,대구 군위군 부계면 한티로 1788-10
카페호두나무,NaN,대구 군위군 부계면 한티로 2128
큰길나루 카페,NaN,대구 군위군 부계면 한티로 2157
콩카페 대구동성로로데오점,NaN,대구 중구 동성로5길 45 2층
마마다이닝,4.84,대구 중구 동성로2길 21-5 마마다이닝
몽블랑드파리,NaN,대구 중구 동성로6길 21
카페 루시드,4.67,대구 중구 동성로4길 94
플루니,NaN,대구 중구 동성로2길 12-32 1층 카페 플루니
슬로우터틀 동성로점,4.61,대구 중구 동성로2길 18-14
오디너리하우스,4.54,대구 중구 동성로2길 21-8
마마다이닝,4.84,대구 중구 동성로2길 21-5 마마다이닝
랑데자뷰 대구동성로점,4.62,대구 중구 동성로2길 50-9
버터베이크,NaN,대구 중구 동성로 22-1 버터베이크
커피마시로,NaN,경북 포항시 북구 환호공원길 19 1층
아떼에르 인 예다숲,NaN,경북 청도군 각북면 송내길 144-11 예다숲
아떼에르 인 예다숲,NaN,경북 청도군 각북면 송내길 144-11 예다숲
카페월든,NaN,경북 청도군 각북면 헐티로 1262
로카커피,4.47,경북 청도군 각북면 낙산1길 51
슬로우스톤,4.64,대구 달성군 유가읍 휴양림길 109 슬로우스톤
카페 담,4.38,대구 달성군 유가읍 유가사2길 15
포레밀,NaN,대구 달성군 유가읍 휴양림길 481 포레밀
오르망,4.45,대구 달성군 유가읍 휴양림길 215 오르망 카페
도케비커피 본점,4.51,대구 달성군 유가읍 음동길 130-15 도케비커피
헤세디온,NaN,대구 달성군 유가읍 휴양림길 440-27
롤링핀 대구수목원점,NaN,대구 달서구 한실로6길 158
킹콩 G.C점,NaN,대구 달서구 화암로 322 1~2층
스타벅스 대구수목원점,4.51,대구 달서구 화암로 379
커피명가 수목원점,4.52,대구 달서구 화암로 373 2층
행운의시간들,4.44,대구 달서구 화암로 325
콰이어트그레이,4.45,대구 달서구 한실로6길 164 3층
WANN,4.32,대구 달서구 한실로6길 161
빅도우,4.57,대구 달서구 화암로 331 카페 빅도우
달콤커피 대구대곡점,4.44,대구 달서구 한실로6길 166 달콤커피 대곡점
카페 11월,4.57,대구 달서구 화암로73길 8-13 진천상가 106호 카페 11월
차방책방,4.89,대구 중구 경상감영길 60 1층 차방책방
카페 태평살롱,NaN,대구 중구 서성로14길 84 1층
크렘드라크렘 범어점,NaN,"대구 수성구 범어로18길 22 1층 106호, 크렘드라크렘 범어점"
별빛담아,NaN,대구 남구 안지랑로5길 10-1 별빛담아
몽블랑드파리,NaN,대구 중구 동성로6길 21
무화커피,4.54,대구 수성구 국채보상로186길 81 2층 무화커피
노팅힐커피하우스,NaN,대구 중구 명륜로23길 56 1층
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층
딥커피로스터스 범어,NaN,대구 수성구 범어천로 155-1 1층
