장소,별점,주소
올바릇 나사리식당,NaN,대구 동구 팔공산로 1179 1층~3층
산채식당,4.38,대구 동구 팔공산로185길 72
산중식당 팔공산본점,4.33,대구 동구 팔공산로185길 55 1층
올바릇 나사리식당,NaN,대구 동구 팔공산로 1179 1층~3층
산채식당,4.38,대구 동구 팔공산로185길 72
탑골식당,4.49,대구 동구 동화사2길 21-7 1층
째미핑거,4.59,대구 동구 팔공산로 1165-7
티아이티에프,NaN,대구 동구 팔공산로 1169
수다레스토랑,4.59,대구 동구 동화사2길 21-10
가원식당,4.84,대구 동구 팔공산로199길 6-3 가원식당
동백 팔공산화본역점,4.8,대구 군위군 산성면 산성가음로 711-6
효령매운탕,4.54,대구 군위군 효령면 치산효령로 2267-8
Camellia,NaN,대구 군위군 산성면 산성가음로 711
추추,NaN,경북 의성군 금성면 탑리5길 34
올더플레이트 동성로점,4.76,대구 중구 동성로3길 77 2층
하이타이,NaN,대구 중구 공평로 53 1층 하이타이
참숯삼인조 종로직영점,NaN,대구 중구 중앙대로81길 53 1층
배배꼬 동성로점,NaN,대구 중구 동성로6길 76 1층
사파키친,4.59,대구 동구 동부로34길 10 사파키친
모닥 동대구점,4.82,대구 동구 동부로34길 6 모닥 1층
심지,NaN,대구 동구 동부로32길 14
딤딤섬 신세계백화점대구점,4.48,대구 동구 동부로 149 대구신세계백화점 9층
라일락식탁,NaN,대구 동구 동부로32길 1 2층
연화,4.65,대구 동구 동부로34길 3 연화
인문공학,4.45,대구 동구 동부로 156 인문공학 동대구
바비레드 신세계백화점 대구점,4.43,대구 동구 동부로 149 신세계백화점 대구점 지하 1층
피에프창 신세계백화점동대구점,4.65,대구 동구 동부로 149 신세계 백화점 8층
프랭크프랭크,4.54,대구 동구 동부로32길 20-1
도리신닭도리탕 대명점,NaN,대구 남구 중앙대로31길 161 도리신 닭도리탕
기장아나고,4.45,대구 남구 두류공원로 108-4
뉴욕뉴욕 바이 켄싱턴,NaN,대구 달서구 두류공원로 200 이월드 83타워 78층
애슐리퀸즈 대구이월드점,NaN,대구 달서구 두류공원로 200 83타워 1층 애슐리퀸즈
오얏,4.71,대구 달서구 야외음악당로 287-1
석뚜껑 삼겹살 두류점,4.51,대구 달서구 파도고개로 202 1층
피자몰 대구이월드점,4.43,대구 달서구 두류공원로 200 스타벅스 옆
윤포차,4.38,대구 달서구 파도고개로 190 1층 윤포차
웨이브콜,NaN,대구 달서구 파도고개로 115 1층
몽짬뽕 달서구직영점,4.35,대구 달서구 야외음악당로 277 1층
애하인앞산,NaN,대구 남구 용두2길 26 1층
봉수낙지,4.5,대구 남구 대명로14길 112
사조회참치,NaN,대구 서구 달서천로57길 37 1층 사조회참치
백색라이브,NaN,대구 서구 국채보상로 238 지하 백색7080라이브
사석,NaN,대구 중구 중앙대로 375 YMCA 건물 1층 사석
수주식당,4.51,대구 중구 중앙대로81길 58 1층 수주식당
경희식당,4.34,대구 중구 큰장로28길 25
몽블랑드파리,NaN,대구 중구 동성로6길 21
구공탄막창,NaN,대구 서구 국채보상로 308 1층
빠레뜨한남 대구 동성로점,NaN,대구 중구 동성로2길 58 2층 빠레뜨한남
유창반점,NaN,대구 중구 명륜로 20 1층
신라식당,4.39,대구 중구 중앙대로 406-8
핑크라이언,4.68,대구 달서구 한실로6길 158-3 핑크라이언
롤링핀 대구수목원점,NaN,대구 달서구 한실로6길 158
뜨돈 진천본점,4.49,대구 달서구 진천로9길 30
킹콩 G.C점,NaN,대구 달서구 화암로 322 1~2층
동이식당,4.4,대구 달서구 한실로6길 165-7
계령식당,4.36,대구 달서구 한실로6길 155-15 1층
WANN,4.32,대구 달서구 한실로6길 161
하루부엌,4.57,대구 달서구 화암로71길 19 하루부엌
서남왕족발,4.33,대구 달서구 명천로 14
일공공샤브 대구수목원점,4.38,대구 달서구 화암로 331
디어원케이크,NaN,대구 수성구 교학로4길 10
