장소,별점,주소
감성돼지,4.54,대구 수성구 고산로4안길 33-8 감성돼지
크루피자 성서점,NaN,대구 달서구 호산동로35북길 76 1층
리안,4.48,대구 수성구 교학로4길 48
대새목장,NaN,대구 달성군 가창면 가창로93길 523
신라식당,4.39,대구 중구 중앙대로 406-8
도마29,4.62,대구 중구 동성로1길 46-2 도마29
조조칼국수 본점,4.45,대구 수성구 국채보상로 912 1층
아티코,4.9,대구 수성구 지범로 43-12
먼데이오프플리즈 대구,NaN,"대구 수성구 수성못2길 27-5 1층, 2층"
딤딤섬 신세계백화점대구점,4.48,대구 동구 동부로 149 대구신세계백화점 9층
용지봉,4.34,대구 수성구 들안로 9
전원돈까스,4.48,대구 중구 동성로6길 2-23 B1F
버거킹 대구죽전네거리점,4.46,대구 달서구 달구벌대로 1536
로에베 플로레스,NaN,대구 북구 이곡길 35-10
빠레뜨한남 대구 동성로점,NaN,대구 중구 동성로2길 58 2층 빠레뜨한남
숨은집,4.65,대구 중구 동성로1길 46-23 1층
정미네,4.46,대구 달성군 가창면 헐티로2길 26 정미네
블랙타코앤그릴,4.53,대구 중구 공평로 31 건물 2층
바르미스시뷔페 두산점,4.37,대구 수성구 무학로 78
유창반점,NaN,대구 중구 명륜로 20 1층
무화커피,4.54,대구 수성구 국채보상로186길 81 2층 무화커피
중앙떡볶이,4.24,대구 중구 동성로2길 81 중앙떡볶이
버거스올마이티 범어점,NaN,대구 수성구 달구벌대로 2398
연남물갈비 수성구지산점,NaN,대구 수성구 용학로 293-7 연남물갈비 수성구지산점
진미식육식당,4.62,대구 서구 달서천로83길 13
오디너리하우스,4.54,대구 중구 동성로2길 21-8
여원찜갈비,4.5,대구 북구 복현로 182-27
롤링핀 대구수목원점,NaN,대구 달서구 한실로6길 158
구공탄막창,NaN,대구 서구 국채보상로 308 1층
팔공노을철판구이,4.49,대구 동구 서촌로 98-1
수봉반점,4.62,대구 북구 대현남로2길 60
오무하무 동성로점,NaN,대구 중구 동성로3길 5 2층
더뷔페 앳 인터불고,4.54,대구 수성구 팔현길 212 호텔인터불고
애슐리퀸즈 대구이월드점,NaN,대구 달서구 두류공원로 200 83타워 1층 애슐리퀸즈
사파키친,4.59,대구 동구 동부로34길 10 사파키친
구삼커피,4.7,대구 중구 봉산문화2길 16-3 구삼커피
몬도카츠,NaN,대구 중구 달구벌대로445길 26-18 1층 몬도카츠
생수정,4.32,대구 달성군 가창면 우록3길 58
걸리버막창 동성로점,NaN,대구 중구 동성로3길 32-20 걸리버막창
바스코 동성로본점,4.58,대구 중구 동성로4길 100 vasco
앞산 큰골집 본점,4.75,대구 남구 큰골길 35 앞산큰골집
고인돌,NaN,대구 동구 아양로9길 5 1층고인돌
마코토,4.34,대구 중구 동성로2길 18-6
군위식당,4.3,대구 중구 경상감영길 101 중앙상가
칸다소바 대구동성로점,4.6,대구 중구 중앙대로 398-1
레스팅07,NaN,대구 중구 동성로3길 67 2층 레스팅07
동아식당,4.55,대구 중구 국채보상로125길 14
오퐁드부아,4.38,대구 달성군 가창면 주리2길 104
조조칼국수 앞산점,4.53,대구 남구 현충로15길 13-1
미진분식본점,4.36,대구 중구 동성로 6-1
쿠우쿠우 대구서구점,NaN,대구 서구 와룡로 307 쿠우쿠우 대구서구점
오무하무,NaN,대구 남구 안지랑로 21 1층 오무하무
낫배드,4.63,대구 중구 동성로6길 45 2층
푸나왈라,4.63,대구 수성구 수성못2길 3 3층
심지,NaN,대구 동구 동부로32길 14
스타벅스 대구종로고택점,NaN,대구 중구 중앙대로77길 22
카페 루시드,4.67,대구 중구 동성로4길 94
로렐트리 동촌유원지 본점,4.71,대구 동구 효동로6길 122 로렐트리
밥을짓다,4.48,대구 동구 팔공산로9길 6-1 1층
수성못 스펠바운드 레스토랑,4.34,대구 수성구 용학로 106-5 2층
돈카돈츠 장기점,NaN,대구 달서구 용산로 82 1층 돈카돈츠 장기점
세연콩국,4.39,대구 중구 명덕로 173
유이쯔,4.57,대구 중구 중앙대로 376-20 1층
구공탄막창,4.49,대구 남구 대명로 303
빕스 프리미어 대구수성교점,4.29,대구 중구 달구벌대로 2232 빕스
베르겐 에스프레소바,NaN,대구 동구 파계로138길 64 베르겐 에스프레소바
왕거미식당,4.42,대구 중구 국채보상로 696-8
조조칼국수 죽전직영점,4.52,대구 달서구 와룡로 169
샤브20 수성못점,NaN,대구 수성구 무학로 83
애슐리퀸즈 동아쇼핑 대구점,NaN,대구 중구 달구벌대로 2085 동아백화점 쇼핑점 12층
삼송빵집 본점,4.28,대구 중구 중앙대로 397
황토시골집,4.33,대구 동구 파계로 604
아웃백스테이크하우스 대구 신세계점,4.54,대구 동구 동부로 149 8층
오스테리아밀즈,4.55,대구 수성구 동원로1길 26 1층
샤브20 만촌점,4.64,대구 수성구 화랑로 68 1층
커들포드,4.48,대구 동구 팔공로 1334 커들포드
푸른회식당,4.46,대구 서구 달구벌대로375길 14-1
헤이마,4.48,대구 동구 파계로 583
국일따로국밥,4.39,대구 중구 국채보상로 571
서민갈비,4.41,대구 수성구 들안로 8-5
내안에,4.29,대구 수성구 무학로 85 내안에
온기정 신세계백화점 대구점,NaN,대구 동구 동부로 149 신세계백화점 8층
꽃피는화덕피자D485 대구수성못점,4.55,대구 수성구 용학로 111
에이바이트키친 동성로,NaN,대구 중구 동성로2길 4-15 1층
태산만두,4.46,대구 중구 달구벌대로 2109-32
이얼즈,NaN,"대구 중구 공평로 79 . 1층,2층(동문동)"
카페동이 3호점,4.56,대구 북구 호암로 51 삼성창조캠퍼스 기숙사건물E동 1층 카페동이
브리니 팔공,NaN,대구 동구 팔공로206길 4
회성각,4.48,대구 남구 현충로 256
랜디스도넛 대구동성로점,4.48,대구 중구 동성로6길 56
제주곤이칼국수 대구 종로점,4.85,대구 중구 종로 42
161커피스튜디오,4.4,대구 달성군 현풍읍 비슬로 581
한우오마카세 더우,NaN,대구 수성구 들안로64길 49 1층
구름순두부,4.26,대구 동구 파계로 497
