장소,별점,주소,수정된 주소,위도,경도
카페아만다,4.56,대구 달성군 현풍읍 테크노상업로 30 엠허브메디컬센터 105호(건물 앞쪽 큰대로변 상가),대구 달성군 현풍읍 테크노상업로,35.692082,128.4535078
엘아르카 퀴에스,4.58,대구 달성군 유가읍 테크노공원로 77 1층 엘아르카,대구 달성군 유가읍 테크노공원로,35.6916766,128.4607965
커피내리는부부,,대구 달성군 유가읍 테크노중앙대로 240 한라하우젠트몰 상가 106호,대구 달성군 유가읍 테크노중앙대로,35.6707052,128.4600296
카프리쵸사,4.54,"대구 달성군 유가읍 테크노상업로 120 1층 121, 122호",대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
스타벅스 대구테크노폴리스점,4.5,대구 달성군 유가읍 테크노상업로 84,대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
심플카페,,대구 달성군 유가읍 테크노공원로 69 1층 108호,대구 달성군 유가읍 테크노공원로,35.6916766,128.4607965
고바슨 현풍 테크노폴리스점,,대구 달성군 현풍읍 테크노공원로 35 107호~113호,대구 달성군 현풍읍 테크노공원로,35.6910423,128.455586
커피팀버 테크노폴리스점,4.46,대구 달성군 유가읍 용리 887-6,대구 달성군 유가읍 용리,35.6804345,128.4718902
빽다방 달성테크노점,4.74,대구 달성군 유가읍 테크노상업로 98,대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
핸즈커피 테크노중앙점,4.56,대구 달성군 유가읍 테크노공원로 73 테크노밸리 107호,대구 달성군 유가읍 테크노공원로,35.6916766,128.4607965
바토플루이르 송해,,대구 달성군 옥포읍 옥포로57길 57-7 1층,대구 달성군 옥포읍,35.7872116,128.4612293
핸즈커피 송해공원점,4.47,대구 달성군 옥포읍 옥포로 313 1층,대구 달성군 옥포읍 옥포로,35.7458635,128.4848337
웜 브리즈,,대구 달성군 옥포읍 명곡로 579 1층,대구 달성군 옥포읍 명곡로,35.755048,128.5031646
카페찬스,,대구 달성군 옥포읍 옥포로 301,대구 달성군 옥포읍 옥포로,35.7458635,128.4848337
이치아더커피,,대구 달성군 옥포읍 옥포로57길 21-18,대구 달성군 옥포읍,35.7872116,128.4612293
카페블로썸,4.28,대구 달성군 옥포읍 옥포로 221,대구 달성군 옥포읍 옥포로,35.7458635,128.4848337
투썸플레이스 대구옥포송해공원점,4.42,대구 달성군 옥포읍 옥포로 305,대구 달성군 옥포읍 옥포로,35.7458635,128.4848337
아마빌레,,대구 달성군 옥포읍 옥포로56길 1,대구 달성군 옥포읍,35.7872116,128.4612293
올렌스커피,4.49,대구 달성군 옥포읍 옥포로57길 71 1층 올렌스커피,대구 달성군 옥포읍,35.7872116,128.4612293
케이클래스커피 옥포점,4.85,대구 달성군 옥포읍 비슬로447길 45-10 2층,대구 달성군 옥포읍 비슬로447길,35.7915766,128.4665642
몽블랑드파리,,대구 중구 동성로6길 21,대구 중구 동성로6길 21,35.8691016,128.5952997
이씨씨커피,4.56,대구 중구 종로 72,대구 중구 종로 72,35.8752728,128.5903318
랑만,,대구 중구 국채보상로102길 60 1층 랑만,대구 중구 국채보상로102길 60,35.8691264,128.5859813
아리츠,4.6,대구 중구 남성로 47 2층,대구 중구 남성로 47,35.8683,128.58952
삼송빵집 본점,4.28,대구 중구 중앙대로 397,대구 중구 중앙대로 397,35.8579739,128.5922977
롤러커피,4.51,대구 중구 달구벌대로414길 36,대구 중구 달구벌대로414길 36,35.8653076,128.5898053
대구근대골목단팥빵 본점,4.42,대구 중구 남성로 7-1 1층 대구근대골목단팥빵 본점,대구 중구 남성로 7-1,35.8683,128.58952
민월재,4.77,대구 북구 고성로 159-4,대구 북구 고성로 159-4,35.8811615,128.5821946
소문난팥빙수단팥죽,4.44,대구 중구 큰장로26안길 11,대구 중구 큰장로26안길 11,35.8666232,128.5776131
마커커피,,대구 중구 큰장로22길 14 마커커피,대구 중구 큰장로22길 14,35.8673202,128.5784541
에폰베이크샵,,대구 수성구 범어로24길 14 1층,대구 수성구 범어로24길 14,35.8602161,128.6365226
데우스커피,4.65,대구 수성구 동대구로14길 15-6 2층,대구 수성구 동대구로14길 15-6,35.8370163,128.6247382
코즈 범어,,대구 수성구 달구벌대로496길 19-4 1층,대구 수성구 달구벌대로496길 19-4,35.850793,128.6355179
올모스트선데이,,대구 수성구 청호로69길 71 1층,대구 수성구 청호로69길 71,35.84959835,128.6358206
아눅 베이커스,4.59,대구 수성구 동대구로58길 15 1층 아눅베이커스,대구 수성구 동대구로58길 15,35.85631155,128.62669837331651
할타보카 만촌점,4.62,대구 수성구 교학로 3 금탑아파트 상가 4호,대구 수성구 교학로 3,35.8542149,128.65361386806902
오솔라,,대구 수성구 달구벌대로526길 22 OSOLAR,대구 수성구 달구벌대로526길 22,35.8559726,128.6489074
호랑이빵집X에브리블랙,4.51,대구 수성구 달구벌대로495길 10,대구 수성구 달구벌대로495길 10,35.8622465,128.6346078
올글래드,4.46,대구 수성구 달구벌대로492길 43 1층,대구 수성구 달구벌대로492길 43,35.8578671,128.6322061
이끼,,대구 수성구 달구벌대로526길 35 1층,대구 수성구 달구벌대로526길 35,35.8559726,128.6489074
덕크로싱도넛,,대구 남구 성당로 74-1 1층,대구 남구 성당로 74-1,35.8425993,128.5613922
브릭스,,대구 달서구 야외음악당로39동길 41 1층,대구 달서구 야외음악당로39동길 41,35.8555515,128.554837
성당못빌,4.53,대구 남구 성당로 54-5 . 1-2층,대구 남구 성당로 54-5,35.8420667,128.56145545176585
오마모리 앞산,4.49,대구 남구 대명남로 167,대구 남구 대명남로 167,35.83491,128.5687085
더크,4.83,대구 남구 안골길 42,대구 남구 안골길 42,35.8368029,128.5767763
카페 몰리스,4.69,대구 달서구 야외음악당로39동길 32 1층 카페몰리스,대구 달서구 야외음악당로39동길 32,35.8555515,128.554837
브리에브레드,,대구 남구 현충로7길 7 1층,대구 남구 현충로7길 7,35.8351825,128.5759851
아눅 앞산,4.51,대구 남구 앞산순환로 459 아눅 앞산,대구 남구 앞산순환로 459,35.83236,128.5751443
푸푸커피 대구 본점,4.49,대구 달서구 와룡로 169,대구 달서구 와룡로 169,35.8435651,128.5370638
읍천리382 본점,4.51,대구 남구 안골길 17-1,대구 남구 안골길 17-1,35.8368029,128.5767763
동촌커피,,대구 동구 효동로6길 20-1 1층 동촌커피,대구 동구 효동로6길 20-1,35.8793815,128.6546749
블루샥 대구 효목점,4.52,대구 동구 효목로 20-1 1층 블루샥 효목점,대구 동구 효목로 20-1,35.8770827,128.6397481
인스퍼레이션디동촌유원지,4.41,대구 동구 효동로6길 57 인스퍼레이션디 동촌유원지,대구 동구 효동로6길 57,35.8793815,128.6546749
마고플레인 아양점,4.43,"대구 동구 해동로 107 2,3층",대구 동구 해동로 107,35.8964546,128.6389103
더아양,4.35,대구 동구 효동로2길 31 더 아양,대구 동구 효동로2길 31,35.8805196,128.6528605
핸즈커피 동촌유원지점,4.48,대구 동구 효동로6길 5-6,대구 동구 효동로6길 5-6,35.8793815,128.6546749
보스턴커피,,대구 동구 방촌로 58,대구 동구 방촌로 58,35.8824353,128.6659475
투썸플레이스 대구동촌유원지점,4.43,대구 동구 효동로6길 46,대구 동구 효동로6길 46,35.8793815,128.6546749
연화,4.65,대구 동구 동부로34길 3 연화,대구 동구 동부로34길 3,35.873131,128.6334272
스타벅스 대구동촌유원지점,4.52,대구 동구 효동로2길 45,대구 동구 효동로2길 45,35.8805196,128.6528605
카페동이 1호점,4.63,대구 수성구 동대구로 95 수성 SK 리더스뷰,대구 수성구 동대구로 95,35.8382504,128.62309841126284
몽블랑드파리,,대구 중구 동성로6길 21,대구 중구 동성로6길 21,35.8691016,128.5952997
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층,대구 중구 달구벌대로445길 26-5,35.8643327,128.6078914
노팅힐커피하우스,,대구 중구 명륜로23길 56 1층,대구 중구 명륜로23길 56,35.861698,128.5960448
구삼커피,4.7,대구 중구 봉산문화2길 16-3 구삼커피,대구 중구 봉산문화2길 16-3,35.8638658,128.596748
티미드,,대구 중구 국채보상로150길 76-6 1층,대구 중구 국채보상로150길 76-6,35.8665792,128.6116577
카페 루시드,4.67,대구 중구 동성로4길 94,대구 중구 동성로4길 94,35.8688273,128.5996394894397
플루니,,대구 중구 동성로2길 12-32 1층 카페 플루니,대구 중구 동성로2길 12-32,35.8667277,128.5963147
슬로우터틀 동성로점,4.61,대구 중구 동성로2길 18-14,대구 중구 동성로2길 18-14,35.8667277,128.5963147
오디너리하우스,4.54,대구 중구 동성로2길 21-8,대구 중구 동성로2길 21-8,35.8667277,128.5963147
삼송빵집 본점,4.28,대구 중구 중앙대로 397,대구 중구 중앙대로 397,35.8579739,128.5922977
오마모리 수성,,대구 수성구 들안로 27 1층,대구 수성구 들안로 27,35.8411811,128.6173904
목련양과,4.7,대구 수성구 들안로8길 29 1층,대구 수성구 들안로8길 29,35.8345878,128.6193821
룩앳더바리스타 대구수성못점,,대구 수성구 수성못2길 21 1층,대구 수성구 수성못2길 21,35.8268423,128.6233599
폴 바셋 대구 수성못점,,대구 수성구 수성못길 28,대구 수성구 수성못길 28,35.8277462,128.6218398
포켓,,대구 수성구 수성못길 20,대구 수성구 수성못길 20,35.8277462,128.6218398
연리희재 대구점,,대구 수성구 들안로14길 53 1층,대구 수성구 들안로14길 53,35.8374401,128.6187962
팜테이블 수성못점,4.46,대구 수성구 용학로 115 2동,대구 수성구 용학로 115,35.822718,128.6393846
콩카페 대구수성못점,,"대구 수성구 수성못길 2 2, 3층",대구 수성구 수성못길 2,35.8277462,128.6218398
사이커피 수성못,,대구 수성구 무학로 123 사이커피,대구 수성구 무학로 123,35.83041025,128.62207776716218
데우스커피,4.65,대구 수성구 동대구로14길 15-6 2층,대구 수성구 동대구로14길 15-6,35.8370163,128.6247382
몽블랑드파리,,대구 중구 동성로6길 21,대구 중구 동성로6길 21,35.8691016,128.5952997
이씨씨커피,4.56,대구 중구 종로 72,대구 중구 종로 72,35.8752728,128.5903318
랑만,,대구 중구 국채보상로102길 60 1층 랑만,대구 중구 국채보상로102길 60,35.8691264,128.5859813
아리츠,4.6,대구 중구 남성로 47 2층,대구 중구 남성로 47,35.8683,128.58952
롤러커피,4.51,대구 중구 달구벌대로414길 36,대구 중구 달구벌대로414길 36,35.8653076,128.5898053
소문난팥빙수단팥죽,4.44,대구 중구 큰장로26안길 11,대구 중구 큰장로26안길 11,35.8666232,128.5776131
마커커피,,대구 중구 큰장로22길 14 마커커피,대구 중구 큰장로22길 14,35.8673202,128.5784541
삼송빵집 본점,4.28,대구 중구 중앙대로 397,대구 중구 중앙대로 397,35.8579739,128.5922977
대구근대골목단팥빵 본점,4.42,대구 중구 남성로 7-1 1층 대구근대골목단팥빵 본점,대구 중구 남성로 7-1,35.8683,128.58952
로맨스빠빠,4.52,대구 중구 국채보상로 492-6,대구 중구 국채보상로 492-6,35.8705663,128.5823058
물그나무 카페,,대구 달서구 선원로23길 69 1층 물그나무카페,대구 달서구 선원로23길 69,35.8608184,128.5026804
슬로우스톤,4.64,대구 달성군 유가읍 휴양림길 109 슬로우스톤,대구 달성군 유가읍 휴양림길,35.7004546,128.4874565
오르망,4.45,대구 달성군 유가읍 휴양림길 215 오르망 카페,대구 달성군 유가읍 휴양림길,35.7004546,128.4874565
카프리쵸사,4.54,"대구 달성군 유가읍 테크노상업로 120 1층 121, 122호",대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
커피팀버 테크노폴리스점,4.46,대구 달성군 유가읍 용리 887-6,대구 달성군 유가읍 용리,35.6804345,128.4718902
엘아르카 퀴에스,4.58,대구 달성군 유가읍 테크노공원로 77 1층 엘아르카,대구 달성군 유가읍 테크노공원로,35.6916766,128.4607965
빽다방 달성테크노점,4.74,대구 달성군 유가읍 테크노상업로 98,대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
논페이지,4.81,대구 달성군 유가읍 테크노상업로 111 상가 106호,대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
배스킨라빈스 대구테크노폴리스,4.6,대구 달성군 유가읍 테크노상업로 100,대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
심플카페,,대구 달성군 유가읍 테크노공원로 69 1층 108호,대구 달성군 유가읍 테크노공원로,35.6916766,128.4607965
카페봄봄 테크노폴리스점,4.63,대구 달성군 유가읍 테크노상업로 112,대구 달성군 유가읍 테크노상업로,35.6935504,128.4585142
별빛담아,,대구 남구 안지랑로5길 10-1 별빛담아,대구 남구 안지랑로5길 10-1,35.83296,128.567081
카페우즈,,대구 군위군 부계면 한티로 2034,대구 군위군 부계면 한티로,36.0268872,128.6315373
금레당,,대구 군위군 부계면 한밤5길 20-1,대구 군위군 부계면,36.07075,128.65745
엘아르카 비타 팔공산점,4.72,대구 군위군 부계면 한티로 2030,대구 군위군 부계면 한티로,36.0268872,128.6315373
카페푸른달,4.4,대구 군위군 부계면 한티로 1905,대구 군위군 부계면 한티로,36.0268872,128.6315373
플루보,,대구 군위군 부계면 한밤8길 143-3,대구 군위군 부계면,36.07075,128.65745
803로스터리,4.27,대구 군위군 부계면 한티로 1912-1,대구 군위군 부계면 한티로,36.0268872,128.6315373
제이힐링카페,,대구 군위군 부계면 한티로 1751,대구 군위군 부계면 한티로,36.0268872,128.6315373
차향만리,,대구 군위군 부계면 한티로 1788-10,대구 군위군 부계면 한티로,36.0268872,128.6315373
카페호두나무,,대구 군위군 부계면 한티로 2128,대구 군위군 부계면 한티로,36.0268872,128.6315373
큰길나루 카페,,대구 군위군 부계면 한티로 2157,대구 군위군 부계면 한티로,36.0268872,128.6315373
콩카페 대구동성로로데오점,,대구 중구 동성로5길 45 2층,대구 중구 동성로5길 45,35.8673876,128.5977543
마마다이닝,4.84,대구 중구 동성로2길 21-5 마마다이닝,대구 중구 동성로2길 21-5,35.8667277,128.5963147
몽블랑드파리,,대구 중구 동성로6길 21,대구 중구 동성로6길 21,35.8691016,128.5952997
카페 루시드,4.67,대구 중구 동성로4길 94,대구 중구 동성로4길 94,35.8688273,128.5996394894397
플루니,,대구 중구 동성로2길 12-32 1층 카페 플루니,대구 중구 동성로2길 12-32,35.8667277,128.5963147
슬로우터틀 동성로점,4.61,대구 중구 동성로2길 18-14,대구 중구 동성로2길 18-14,35.8667277,128.5963147
오디너리하우스,4.54,대구 중구 동성로2길 21-8,대구 중구 동성로2길 21-8,35.8667277,128.5963147
마마다이닝,4.84,대구 중구 동성로2길 21-5 마마다이닝,대구 중구 동성로2길 21-5,35.8667277,128.5963147
랑데자뷰 대구동성로점,4.62,대구 중구 동성로2길 50-9,대구 중구 동성로2길 50-9,35.8667277,128.5963147
버터베이크,,대구 중구 동성로 22-1 버터베이크,대구 중구 동성로 22-1,35.8678431,128.5966739699789
커피마시로,,경북 포항시 북구 환호공원길 19 1층,경북 포항시 북구 환호공원길,36.0682127,129.3950327
아떼에르 인 예다숲,,경북 청도군 각북면 송내길 144-11 예다숲,경북 청도군 각북면 송내길,35.7267627,128.568433
아떼에르 인 예다숲,,경북 청도군 각북면 송내길 144-11 예다숲,경북 청도군 각북면 송내길,35.7267627,128.568433
카페월든,,경북 청도군 각북면 헐티로 1262,경북 청도군 각북면 헐티로,35.7147149,128.5659239
로카커피,4.47,경북 청도군 각북면 낙산1길 51,경북 청도군 각북면,35.69357,128.59016
슬로우스톤,4.64,대구 달성군 유가읍 휴양림길 109 슬로우스톤,대구 달성군 유가읍 휴양림길,35.7004546,128.4874565
카페 담,4.38,대구 달성군 유가읍 유가사2길 15,대구 달성군 유가읍,35.6940422,128.4597255
포레밀,,대구 달성군 유가읍 휴양림길 481 포레밀,대구 달성군 유가읍 휴양림길,35.7004546,128.4874565
오르망,4.45,대구 달성군 유가읍 휴양림길 215 오르망 카페,대구 달성군 유가읍 휴양림길,35.7004546,128.4874565
도케비커피 본점,4.51,대구 달성군 유가읍 음동길 130-15 도케비커피,대구 달성군 유가읍,35.6940422,128.4597255
헤세디온,,대구 달성군 유가읍 휴양림길 440-27,대구 달성군 유가읍 휴양림길,35.7004546,128.4874565
롤링핀 대구수목원점,,대구 달서구 한실로6길 158,대구 달서구 한실로6길 158,35.7971293,128.5289789
킹콩 G.C점,,대구 달서구 화암로 322 1~2층,대구 달서구 화암로 322,35.803604,128.5132476
스타벅스 대구수목원점,4.51,대구 달서구 화암로 379,대구 달서구 화암로 379,35.803604,128.5132476
커피명가 수목원점,4.52,대구 달서구 화암로 373 2층,대구 달서구 화암로 373,35.803604,128.5132476
행운의시간들,4.44,대구 달서구 화암로 325,대구 달서구 화암로 325,35.803604,128.5132476
콰이어트그레이,4.45,대구 달서구 한실로6길 164 3층,대구 달서구 한실로6길 164,35.7971293,128.5289789
WANN,4.32,대구 달서구 한실로6길 161,대구 달서구 한실로6길 161,35.7971293,128.5289789
빅도우,4.57,대구 달서구 화암로 331 카페 빅도우,대구 달서구 화암로 331,35.803604,128.5132476
달콤커피 대구대곡점,4.44,대구 달서구 한실로6길 166 달콤커피 대곡점,대구 달서구 한실로6길 166,35.7971293,128.5289789
카페 11월,4.57,대구 달서구 화암로73길 8-13 진천상가 106호 카페 11월,대구 달서구 화암로73길 8-13,35.8069137,128.518981
차방책방,4.89,대구 중구 경상감영길 60 1층 차방책방,대구 중구 경상감영길 60,35.8708028,128.5859117
카페 태평살롱,,대구 중구 서성로14길 84 1층,대구 중구 서성로14길 84,35.8729487,128.588674
크렘드라크렘 범어점,,"대구 수성구 범어로18길 22 1층 106호, 크렘드라크렘 범어점",대구 수성구 범어로18길 22,35.8568843,128.6386243
별빛담아,,대구 남구 안지랑로5길 10-1 별빛담아,대구 남구 안지랑로5길 10-1,35.83296,128.567081
몽블랑드파리,,대구 중구 동성로6길 21,대구 중구 동성로6길 21,35.8691016,128.5952997
무화커피,4.54,대구 수성구 국채보상로186길 81 2층 무화커피,대구 수성구 국채보상로186길 81,35.8636023,128.6341765
노팅힐커피하우스,,대구 중구 명륜로23길 56 1층,대구 중구 명륜로23길 56,35.861698,128.5960448
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층,대구 중구 달구벌대로445길 26-5,35.8643327,128.6078914
딥커피로스터스 범어,,대구 수성구 범어천로 155-1 1층,대구 수성구 범어천로 155-1,35.8639354,128.6187968
