장소,별점,주소,수정된 주소,위도,경도
올바릇 나사리식당,,대구 동구 팔공산로 1179 1층~3층,대구 동구 팔공산로 1179,35.9671985,128.6988235
산채식당,4.38,대구 동구 팔공산로185길 72,대구 동구 팔공산로185길 72,35.9903119,128.6944005
산중식당 팔공산본점,4.33,대구 동구 팔공산로185길 55 1층,대구 동구 팔공산로185길 55,35.9903119,128.6944005
올바릇 나사리식당,,대구 동구 팔공산로 1179 1층~3층,대구 동구 팔공산로 1179,35.9671985,128.6988235
산채식당,4.38,대구 동구 팔공산로185길 72,대구 동구 팔공산로185길 72,35.9903119,128.6944005
탑골식당,4.49,대구 동구 동화사2길 21-7 1층,대구 동구 동화사2길 21-7,35.9906542,128.6987601
째미핑거,4.59,대구 동구 팔공산로 1165-7,대구 동구 팔공산로 1165-7,35.9671985,128.6988235
티아이티에프,,대구 동구 팔공산로 1169,대구 동구 팔공산로 1169,35.9671985,128.6988235
수다레스토랑,4.59,대구 동구 동화사2길 21-10,대구 동구 동화사2길 21-10,35.9906542,128.6987601
가원식당,4.84,대구 동구 팔공산로199길 6-3 가원식당,대구 동구 팔공산로199길 6-3,35.9888968,128.6955486
동백 팔공산화본역점,4.8,대구 군위군 산성면 산성가음로 711-6,대구 군위군 산성면 산성가음로,36.1053877,128.7089894
효령매운탕,4.54,대구 군위군 효령면 치산효령로 2267-8,대구 군위군 효령면 치산효령로,36.12484,128.62019
Camellia,,대구 군위군 산성면 산성가음로 711,대구 군위군 산성면 산성가음로,36.1053877,128.7089894
추추,,경북 의성군 금성면 탑리5길 34,경북 의성군 금성면 탑리5길,36.2594822,128.6817774
올더플레이트 동성로점,4.76,대구 중구 동성로3길 77 2층,대구 중구 동성로3길 77,35.8688714,128.59806275948276
하이타이,,대구 중구 공평로 53 1층 하이타이,대구 중구 공평로 53,35.86883735,128.59975885
참숯삼인조 종로직영점,,대구 중구 중앙대로81길 53 1층,대구 중구 중앙대로81길 53,35.869509,128.5894659
배배꼬 동성로점,,대구 중구 동성로6길 76 1층,대구 중구 동성로6길 76,35.8691016,128.5952997
